LENGTH,MODULARITY,HIGHEST-MODULARITY
1,-1.056212763421196e-16,-1
1,0.001102534489230524,0.001102534489230524
1,0.0011025344892305591,0.0011025344892305591
1,0.0011025344892304982,0.0011025344892305591
1,0.0011025344892304973,0.0011025344892305591
1,0.0011025344892304956,0.0011025344892305591
1,0.0011025344892304986,0.0011025344892305591
1,0.0011025344892304965,0.0011025344892305591
1,0.0011025344892304548,0.0011025344892305591
1,0.0011025344892304089,0.0011025344892305591
1,0.0011025344892304136,0.0011025344892305591
1,0.0011025344892306333,0.0011025344892306333
1,0.0011025344892306292,0.0011025344892306333
1,0.0011025344892305576,0.0011025344892306333
1,0.0011025344892306261,0.0011025344892306333
1,0.001102534489230528,0.0011025344892306333
1,0.001102534489230624,0.0011025344892306333
1,0.0011025344892306216,0.0011025344892306333
1,0.0011025344892304212,0.0011025344892306333
2,0.44190008722878005,0.44190008722878005
2,0.4419000872287881,0.4419000872287881
2,0.44190008722878005,0.4419000872287881
2,0.4419000872287726,0.4419000872287881
2,0.44190008722878926,0.44190008722878926
2,0.4419000872287941,0.4419000872287941
2,0.44190008722879875,0.44190008722879875
3,0.6104940572782949,0.6104940572782949
3,0.6104940572782953,0.6104940572782953
3,0.6104940572783176,0.6104940572783176
3,0.6104940572783188,0.6104940572783188
3,0.6104940572782845,0.6104940572783188
3,0.6104940572783247,0.6104940572783247
3,0.6104940572783195,0.6104940572783247
3,0.6104940572783139,0.6104940572783247
4,0.7048947658241781,0.7048947658241781
4,0.7048947658241678,0.7048947658241781
4,0.7048947658241705,0.7048947658241781
4,0.7048947658241682,0.7048947658241781
4,0.704894765824176,0.7048947658241781
4,0.7048947658241619,0.7048947658241781
4,0.7048947658241582,0.7048947658241781
4,0.7048947658241612,0.7048947658241781
4,0.7048947658241594,0.7048947658241781
4,0.7048947658241587,0.7048947658241781
5,0.7551191711862351,0.7551191711862351
5,0.7551191711862351,0.7551191711862351
5,0.7551191711862351,0.7551191711862351
5,0.7551191711862351,0.7551191711862351
5,0.7551191711862351,0.7551191711862351
6,0.7679816674706927,0.7679816674706927
6,0.7679816674706927,0.7679816674706927
6,0.7679816674706927,0.7679816674706927
6,0.7679816674706927,0.7679816674706927
6,0.7679816674706927,0.7679816674706927
6,0.7679816674706927,0.7679816674706927
7,0.7832648665506209,0.7832648665506209
7,0.7832648665506209,0.7832648665506209
7,0.7832648665506209,0.7832648665506209
7,0.7832648665506209,0.7832648665506209
8,0.8027888640361678,0.8027888640361678
8,0.8027888640361679,0.8027888640361679
8,0.8027888640361679,0.8027888640361679
8,0.8027888640361671,0.8027888640361679
9,0.8162276021031467,0.8162276021031467
9,0.8162276021031459,0.8162276021031467
9,0.8162276021031459,0.8162276021031467
9,0.8162276021031459,0.8162276021031467
10,0.8224334702668394,0.8224334702668394
10,0.8224334702668398,0.8224334702668398
10,0.8224334702668394,0.8224334702668398
11,0.8296035992572917,0.8296035992572917
11,0.8296035992572918,0.8296035992572918
12,0.8320894795062298,0.8320894795062298
12,0.8320894795062282,0.8320894795062298
12,0.8320894795062272,0.8320894795062298
12,0.8320894795062274,0.8320894795062298
12,0.8320894795062272,0.8320894795062298
12,0.8320894795062265,0.8320894795062298
13,0.8319944544342355,0.8320894795062298
13,0.8319944544342355,0.8320894795062298
13,0.8319944544342355,0.8320894795062298
14,0.8316454200351409,0.8320894795062298
14,0.8316454200351434,0.8320894795062298
14,0.8316454200351459,0.8320894795062298
14,0.8316454200351483,0.8320894795062298
15,0.8321845045782338,0.8321845045782338
15,0.8321845045782338,0.8321845045782338
16,0.8323453162385294,0.8323453162385294
16,0.8323453162385294,0.8323453162385294
16,0.8323453162385294,0.8323453162385294
17,0.8339315039788279,0.8339315039788279
17,0.8339315039788279,0.8339315039788279
18,0.8361463191185096,0.8361463191185096
18,0.8361463191185096,0.8361463191185096
18,0.8361463191185096,0.8361463191185096
18,0.8361463191185096,0.8361463191185096
19,0.8367725099775777,0.8367725099775777
19,0.8367725099775889,0.8367725099775889
19,0.836772509977578,0.8367725099775889
20,0.8364338308748213,0.8367725099775889
20,0.8364338308748095,0.8367725099775889
20,0.8364338308748213,0.8367725099775889
20,0.8364338308748095,0.8367725099775889
20,0.8364338308748213,0.8367725099775889
20,0.8364338308748095,0.8367725099775889
20,0.8364338308748213,0.8367725099775889
21,0.834945104746814,0.8367725099775889
21,0.834945104746814,0.8367725099775889
21,0.834945104746814,0.8367725099775889
22,0.8342470359486683,0.8367725099775889
22,0.8342470359486683,0.8367725099775889
22,0.8342470359486683,0.8367725099775889
23,0.8331670394572849,0.8367725099775889
23,0.8331670394572849,0.8367725099775889
23,0.8331670394572849,0.8367725099775889
24,0.8317538460788194,0.8367725099775889
25,0.8318927288763789,0.8367725099775889
25,0.8318927288763698,0.8367725099775889
25,0.8318927288763786,0.8367725099775889
26,0.8306744587225257,0.8367725099775889
26,0.8306744587225383,0.8367725099775889
27,0.8287727390123841,0.8367725099775889
27,0.8287727390123967,0.8367725099775889
28,0.8273540634182307,0.8367725099775889
28,0.8273540634182462,0.8367725099775889
29,0.8249217870560938,0.8367725099775889
29,0.8249217870560984,0.8367725099775889
29,0.824921787056087,0.8367725099775889
29,0.8249217870560995,0.8367725099775889
30,0.8229238240037827,0.8367725099775889
30,0.8229238240037899,0.8367725099775889
31,0.8218371270265613,0.8367725099775889
