Time,FPR
0,0.0
1,0.0
2,0.0033333333333333335
3,0.005
4,0.006
5,0.005
6,0.007142857142857143
7,0.00875
8,0.012222222222222223
9,0.013
10,0.013636363636363636
11,0.014166666666666666
12,0.016153846153846154
13,0.015
14,0.014666666666666666
15,0.015625
16,0.017058823529411765
17,0.018333333333333333
18,0.017894736842105262
19,0.0185
20,0.02
21,0.02
22,0.019130434782608695
23,0.021666666666666667
24,0.0228
25,0.022692307692307692
26,0.022962962962962963
27,0.023571428571428573
28,0.02586206896551724
29,0.027333333333333334
30,0.02967741935483871
31,0.0325
32,0.03484848484848485
33,0.039705882352941174
34,0.04657142857142857
35,0.05277777777777778
36,0.05810810810810811
37,0.06447368421052632
38,0.07307692307692308
39,0.08125
40,0.0924390243902439
41,0.1019047619047619
42,0.11162790697674418
43,0.12204545454545454
44,0.13311111111111112
45,0.14391304347826087
46,0.15553191489361703
47,0.16770833333333332
48,0.17918367346938777
49,0.1904
